pair,cond,fr,opening,interact,active_ses_time,familiarity,ref
1,30sec,1,9,8,1527,1,30secBase
1,30sec,1,11,10,1320,1,30secBase
1,30sec,1,8,8,1536,1,30secBase
1,30sec,1,11,10,1049,1,30secBase
1,30sec,2,11,11,1424,1,FR2
1,30sec,5,3,3,1698,1,FR5
1,30sec,10,1,1,1767,1,FR10
1,30sec,20,0,0,1800,1,FR20
1,10sec,1,16,14,1381,1,10secBase
1,10sec,1,6,6,1720,1,10secBase
1,10sec,1,7,7,1702,1,10secBase
1,10sec,1,6,6,1723,1,10secBase
1,10sec,2,3,3,1760,1,FR2
1,10sec,5,1,1,1785,1,FR5
1,10sec,10,0,0,1800,1,FR10
1,60sec,1,12,10,986,1,60secBase
1,60sec,1,5,3,624,1,60secBase
1,60sec,1,6,6,1379,1,60secBase
1,60sec,1,5,3,1381,1,60secBase
1,60sec,1,9,7,1216,1,60secBase
1,60sec,2,9,9,1232,1,FR2
1,60sec,5,3,2,1413,1,FR5
1,60sec,10,1,0,276,1,FR10
1,30sec,1,4,4,1625,0,30secBase
1,30sec,1,6,6,1541,0,30secBase
1,30sec,1,4,3,1494,0,30secBase
1,30sec,1,5,5,1582,0,30secBase
1,30sec,2,2,1,534,0,FR2
1,30sec,5,0,0,1800,0,FR5
1,10sec,1,5,3,849,0,10secBase
1,10sec,1,1,1,1785,0,10secBase
1,10sec,1,6,6,1667,0,10secBase
1,10sec,1,6,6,1705,0,10secBase
1,10sec,1,9,8,887,0,10secBase
1,10sec,1,27,27,1273,0,10secBase
1,10sec,1,8,7,1673,0,10secBase
1,10sec,2,26,24,1274,0,FR2
1,10sec,5,7,7,1695,0,FR5
1,10sec,10,2,2,1767,0,FR10
1,10sec,20,1,1,1785,0,FR20
1,10sec,40,0,0,1800,0,FR40
1,60sec,1,4,3,1585,0,60secBase
1,60sec,1,8,8,1285,0,60secBase
1,60sec,1,8,8,1284,0,60secBase
1,60sec,1,10,10,1153,0,60secBase
1,60sec,2,7,7,1356,0,FR2
1,60sec,5,3,3,1608,0,FR5
1,60sec,10,1,1,1735,0,FR10
1,60sec,20,0,0,1800,0,FR20
2,10sec,1,9,7,1365,1,10secBase
2,10sec,1,23,17,864,1,10secBase
2,10sec,1,23,22,1363,1,10secBase
2,10sec,1,33,32,1343,1,10secBase
2,10sec,1,27,22,1099,1,10secBase
2,10sec,1,21,16,1000,1,10secBase
2,10sec,1,25,23,1183,1,10secBase
2,10sec,1,18,18,1543,1,10secBase
2,10sec,2,9,9,1504,1,FR2
2,10sec,5,4,3,550,1,FR5
2,10sec,10,5,5,1702,1,FR10
2,10sec,20,0,0,1800,1,FR20
2,60sec,1,14,14,864,1,60secBase
2,60sec,1,15,15,849,1,60secBase
2,60sec,1,16,14,685,1,60secBase
2,60sec,1,13,13,919,1,60secBase
2,60sec,2,12,12,922,1,FR2
2,60sec,5,7,5,1317,1,FR5
2,60sec,10,4,4,1540,1,FR10
2,60sec,20,1,1,1737,1,FR20
2,60sec,40,0,0,1800,1,FR40
2,30sec,1,17,16,1234,1,30secBase
2,30sec,1,18,16,1148,1,30secBase
2,30sec,1,15,15,1289,1,30secBase
2,30sec,2,9,8,1502,1,FR2
2,30sec,5,9,7,1012,1,FR5
2,30sec,10,0,0,1800,1,FR10
2,30sec,1,13,13,1370,0,UNF30secBase
2,30sec,1,3,3,1700,0,UNF30secBase
2,30sec,1,18,18,1181,0,UNF30secBase
2,30sec,1,9,8,1399,0,UNF30secBase
2,30sec,2,18,17,1208,0,FR2
2,30sec,5,8,8,1536,0,FR5
2,30sec,10,2,2,1734,0,FR10
2,30sec,20,0,0,1800,0,FR20
2,10sec,1,16,16,1589,0,10secBase
2,10sec,1,16,16,1592,0,10secBase
2,10sec,1,17,17,1453,0,10secBase
2,10sec,2,17,15,1114,0,FR2
2,10sec,5,10,8,1002,0,FR5
2,10sec,10,3,3,1755,0,FR10
2,10sec,20,1,1,1779,0,FR20
2,10sec,40,0,0,1800,0,FR40
2,60sec,1,14,13,733,0,60secBase
2,60sec,1,18,9,770,0,60secBase
2,60sec,1,13,11,893,0,60secBase
2,60sec,2,13,8,645,0,FR2
2,60sec,5,8,7,1093,0,FR5
2,60sec,10,3,3,1560,0,FR10
2,60sec,20,1,1,1678,0,FR20
2,60sec,40,0,0,1800,0,FR40
3,10sec,1,10,10,1669,1,10secBase
3,10sec,1,7,6,1699,1,10secBase
3,10sec,1,10,9,1543,1,10secBase
3,10sec,2,16,16,1569,1,FR2
3,10sec,5,9,4,522,1,FR5
3,10sec,10,2,2,1770,1,FR10
3,10sec,20,0,0,1800,1,FR20
3,60sec,1,12,12,1017,1,60secBase
3,60sec,1,6,6,1402,1,60secBase
3,60sec,1,6,5,934,1,60secBase
3,60sec,1,8,7,1259,1,60secBase
3,60sec,2,6,6,1275,1,FR2
3,60sec,5,6,5,1323,1,FR5
3,60sec,10,4,3,1551,1,FR10
3,60sec,20,1,1,1734,1,FR20
3,60sec,40,0,0,1800,1,FR40
3,30sec,1,18,16,1154,1,30secBase
3,30sec,1,13,11,1185,1,30secBase
3,30sec,1,19,19,1131,1,30secBase
3,30sec,2,13,13,1358,1,FR2
3,30sec,5,12,11,1352,1,FR5
3,30sec,10,0,0,1800,1,FR10
3,30sec,1,14,14,1133,0,UNF30secBase
3,30sec,1,12,11,1182,0,UNF30secBase
3,30sec,1,12,12,1230,0,UNF30secBase
3,30sec,2,10,9,1381,0,UNF30secFR2
3,30sec,5,13,11,1205,0,UNF30secFR5
3,30sec,10,8,5,1165,0,UNF30secFR10
3,30sec,20,4,3,1192,0,UNF30secFR20
3,30sec,40,0,0,1800,0,UNF30secFR40
3,10sec,1,8,7,1696,0,10secBase
